DISTRIBUIDORA;ANO;MÊS;DIA;PRODUTO;QUANTIDADE;PREÇO;FATURAMENTO
Distribuidora DF;2017;9;1;PRODUTO B;932;38,8747281831187;36231,2466666667
Distribuidora DF;2017;9;1;PRODUTO C;14271;46,7152930184757;666673,946666667
Distribuidora DF;2017;10;1;PRODUTO A;616;62,7507142857143;38654,44
Distribuidora DF;2017;10;1;PRODUTO B;939;38,0623855165069;35740,58
Distribuidora DF;2017;10;1;PRODUTO C;16008;46,2339092953523;740112,42
Distribuidora DF;2017;11;1;PRODUTO A;512;62,5962239583333;32049,2666666667
Distribuidora DF;2017;11;1;PRODUTO B;927;37,2047536857246;34488,8066666667
Distribuidora DF;2017;11;1;PRODUTO C;11434;46,4756008396012;531402,02
Distribuidora DF;2017;12;1;PRODUTO A;563;62,2381645944346;35040,0866666667
Distribuidora DF;2017;12;1;PRODUTO B;1207;35,2108036454018;42499,44
Distribuidora DF;2017;12;1;PRODUTO C;15532;44,8122332389046;696023,606666667
Distribuidora DF;2018;1;1;PRODUTO A;504;61,9912433862434;31243,5866666667
Distribuidora DF;2018;1;1;PRODUTO B;825;36,5935919191919;30189,7133333333
Distribuidora DF;2018;1;1;PRODUTO C;11405;45,2287774367967;515834,206666666
Distribuidora DF;2018;2;1;PRODUTO A;471;61,7133191790517;29066,9733333333
Distribuidora DF;2018;2;1;PRODUTO B;865;35,4141734104046;30633,26
Distribuidora DF;2018;2;1;PRODUTO C;9781;45,0837180929012;440963,846666667
Distribuidora DF;2018;3;1;PRODUTO A;436;61,9741131498471;27020,7133333333
Distribuidora DF;2018;3;1;PRODUTO B;1006;34,9091716368456;35118,6266666666
Distribuidora DF;2018;3;1;PRODUTO C;13392;44,1578215850259;591361,546666667
Distribuidora DF;2018;4;1;PRODUTO A;455;61,5766886446886;28017,3933333333
Distribuidora DF;2018;4;1;PRODUTO B;795;34,4686121593291;27402,5466666667
Distribuidora DF;2018;4;1;PRODUTO C;11697;44,1899506996096;516889,853333333
Distribuidora DF;2018;5;1;PRODUTO A;355;61,4656150234742;21820,2933333333
Distribuidora DF;2018;5;1;PRODUTO B;709;34,46341325811;24434,56
Distribuidora DF;2018;5;1;PRODUTO C;8252;44,3413674281444;365882,793333333
Distribuidora DF;2018;6;1;PRODUTO A;502;59,5681407702523;29903,2066666667
Distribuidora DF;2018;6;1;PRODUTO B;797;34,29539104977;27333,4266666667
Distribuidora DF;2018;6;1;PRODUTO C;14778;41,2616283764732;609743,713333333
Distribuidora DF;2018;7;1;PRODUTO A;523;60,0044359464627;31382,32
Distribuidora DF;2018;7;1;PRODUTO B;774;34,2609905254091;26518,0066666667
Distribuidora DF;2018;7;1;PRODUTO C;14312;39,8123170802716;569787,246666667
Distribuidora DF;2018;8;1;PRODUTO A;200;64,9763666666666;12995,2733333333
Distribuidora DF;2018;8;1;PRODUTO B;489;39,1479618268575;19143,3533333333
Distribuidora DF;2018;8;1;PRODUTO C;6869;41,417898069854;284502,993333333
Distribuidora DF;2018;9;1;PRODUTO A;371;65,1443486073674;24168,5533333333
Distribuidora DF;2018;9;1;PRODUTO B;671;37,9814307004471;25485,54
Distribuidora DF;2018;9;1;PRODUTO C;8429;49,0240874757781;413224,033333333
Distribuidora DF;2018;9;1;PRODUTO D;194;79,2035395189003;15365,4866666667
Distribuidora DF;2018;10;1;PRODUTO A;384;65,1915451388889;25033,5533333333
Distribuidora DF;2018;10;1;PRODUTO B;913;37,540569550931;34274,54
Distribuidora DF;2018;10;1;PRODUTO C;12192;48,5018451738138;591342,58
Distribuidora DF;2018;10;1;PRODUTO D;175;81,3152;14230,16
Distribuidora DF;2018;11;1;PRODUTO A;295;65,5944632768361;19350,3666666667
Distribuidora DF;2018;11;1;PRODUTO B;900;37,3206222222222;33588,56
Distribuidora DF;2018;11;1;PRODUTO C;10171;48,6928428219698;495244,76
Distribuidora DF;2018;11;1;PRODUTO D;161;81,4992132505176;13121,3733333333
Distribuidora DF;2018;12;1;PRODUTO A;399;65,1263492063492;25985,4133333333
Distribuidora DF;2018;12;1;PRODUTO B;1083;36,9435026161896;40009,8133333333
Distribuidora DF;2018;12;1;PRODUTO C;10795;48,747578210339;526224,013333333
Distribuidora DF;2018;12;1;PRODUTO D;124;81,025;10047,1
Distribuidora DF;2019;1;1;PRODUTO A;328;65,2108943089431;21389,1733333333
Distribuidora DF;2019;1;1;PRODUTO B;1000;37,5829133333333;37582,9133333333
Distribuidora DF;2019;1;1;PRODUTO C;10970;48,8026089136363;535368,686666667
Distribuidora DF;2019;1;1;PRODUTO D;255;84,1792156862745;21465,7
Distribuidora DF;2019;2;1;PRODUTO A;261;65,0278408182835;16953,3
Distribuidora DF;2019;2;1;PRODUTO B;973;37,414717368962;36404,52
Distribuidora DF;2019;2;1;PRODUTO C;8852;49,1076746966402;434713,413333333
Distribuidora DF;2019;2;1;PRODUTO D;280;80,8624761904762;22641,4933333333
Distribuidora DF;2019;3;1;PRODUTO A;266;64,1604017576899;17034,5866666667
Distribuidora DF;2019;3;1;PRODUTO B;892;37,5764349775785;33518,18
Distribuidora DF;2019;3;1;PRODUTO C;10488;48,4598392664895;508264,966666667
Distribuidora DF;2019;3;1;PRODUTO D;278;80,737793764988;22445,1066666667
Distribuidora DF;2019;4;1;PRODUTO A;248;62,7493037336024;15546,14
Distribuidora DF;2019;4;1;PRODUTO B;843;37,6617793594306;31748,88
Distribuidora DF;2019;4;1;PRODUTO C;7987;48,5059681887184;387427,273333333
Distribuidora DF;2019;4;1;PRODUTO D;290;83,1082298850575;24101,3866666667
Distribuidora DF;2019;5;1;PRODUTO A;247;61,9343174924166;15313,26
Distribuidora DF;2019;5;1;PRODUTO B;965;36,7772435233161;35490,04
Distribuidora DF;2019;5;1;PRODUTO C;10170;48,0827040093084;489005,106666667
Distribuidora DF;2019;5;1;PRODUTO D;233;78,3524463519313;18256,12
Distribuidora DF;2019;6;1;PRODUTO A;199;64,4214740368509;12819,8733333333
Distribuidora DF;2019;6;1;PRODUTO B;955;36,3343315881326;34699,2866666667
Distribuidora DF;2019;6;1;PRODUTO C;7972;47,7515679879579;380675,5
Distribuidora DF;2019;6;1;PRODUTO D;504;75,0992328042328;37850,0133333333
Distribuidora DF;2019;7;1;PRODUTO A;247;64,4158164642375;15910,7066666667
Distribuidora DF;2019;7;1;PRODUTO B;909;36,0097176384305;32732,8333333333
Distribuidora DF;2019;7;1;PRODUTO C;7218;47,4205818786368;342281,76
